"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 06 09:33:06 UTC 2025","Tue May 06 09:33:07 UTC 2025","1150","tests","product_test","","","","test_product_page[chromium]",""
"passed","Tue May 06 09:33:45 UTC 2025","Tue May 06 09:33:46 UTC 2025","938","tests","product_test","","","","test_view_cart_brand_products[chromium]",""
"passed","Tue May 06 09:33:28 UTC 2025","Tue May 06 09:33:33 UTC 2025","5069","tests","product_test","","","","test_place_order_register_before_checkout[chromium]",""
"passed","Tue May 06 09:33:01 UTC 2025","Tue May 06 09:33:01 UTC 2025","381","tests","login_test","","","","test_verify_incorrect_login[chromium]",""
"passed","Tue May 06 09:32:51 UTC 2025","Tue May 06 09:32:51 UTC 2025","537","tests","basic_pages_test","","","","test_verify_subscription_home[chromium]",""
"passed","Tue May 06 09:33:52 UTC 2025","Tue May 06 09:33:52 UTC 2025","752","tests","product_test","","","","test_add_review_on_product[chromium]",""
"passed","Tue May 06 09:33:35 UTC 2025","Tue May 06 09:33:38 UTC 2025","3416","tests","product_test","","","","test_place_order_login_before_checkout[chromium]",""
"passed","Tue May 06 09:32:55 UTC 2025","Tue May 06 09:32:56 UTC 2025","842","tests","basic_pages_test","","","","test_verify_scroll_up_without_arrow_button_and_scroll_down_functionality[chromium]",""
"passed","Tue May 06 09:33:42 UTC 2025","Tue May 06 09:33:43 UTC 2025","645","tests","product_test","","","","test_view_category_products[chromium]",""
"passed","Tue May 06 09:33:18 UTC 2025","Tue May 06 09:33:19 UTC 2025","1046","tests","product_test","","","","test_verify_product_quantity_in_cart[chromium]",""
"passed","Tue May 06 09:34:02 UTC 2025","Tue May 06 09:34:08 UTC 2025","5257","tests","product_test","","","","test_download_invoice_after_purchase_order[chromium]",""
"passed","Tue May 06 09:33:20 UTC 2025","Tue May 06 09:33:26 UTC 2025","5499","tests","product_test","","","","test_place_order_register_while_checkout[chromium]",""
"passed","Tue May 06 09:32:49 UTC 2025","Tue May 06 09:32:49 UTC 2025","367","tests","basic_pages_test","","","","test_test_cases_page[chromium]",""
"passed","Tue May 06 09:33:14 UTC 2025","Tue May 06 09:33:16 UTC 2025","1366","tests","product_test","","","","test_add_product_to_cart[chromium]",""
"passed","Tue May 06 09:32:53 UTC 2025","Tue May 06 09:32:54 UTC 2025","985","tests","basic_pages_test","","","","test_verify_scroll_up_using_arrow_button_and_scroll_down_functionality[chromium]",""
"passed","Tue May 06 09:33:09 UTC 2025","Tue May 06 09:33:10 UTC 2025","1075","tests","product_test","","","","test_search_product[chromium]",""
"passed","Tue May 06 09:32:46 UTC 2025","Tue May 06 09:32:48 UTC 2025","1110","tests","basic_pages_test","","","","test_contact_us_page[chromium]",""
"passed","Tue May 06 09:33:48 UTC 2025","Tue May 06 09:33:50 UTC 2025","2188","tests","product_test","","","","test_search_products_and_verify_cart_after_login[chromium]",""
"passed","Tue May 06 09:33:56 UTC 2025","Tue May 06 09:34:01 UTC 2025","4167","tests","product_test","","","","test_verify_address_details_in_checkout_page[chromium]",""
"passed","Tue May 06 09:33:03 UTC 2025","Tue May 06 09:33:04 UTC 2025","1148","tests","login_test","","","","test_verify_logout[chromium]",""
"passed","Tue May 06 09:33:54 UTC 2025","Tue May 06 09:33:55 UTC 2025","557","tests","product_test","","","","test_add_to_cart_from_recommended_items[chromium]",""
"passed","Tue May 06 09:34:10 UTC 2025","Tue May 06 09:34:12 UTC 2025","2586","tests","register_test","","","","test_verify_correct_register_and_delete[chromium]",""
"passed","Tue May 06 09:33:12 UTC 2025","Tue May 06 09:33:13 UTC 2025","987","tests","product_test","","","","test_verify_subscription_cart[chromium]",""
"passed","Tue May 06 09:33:40 UTC 2025","Tue May 06 09:33:41 UTC 2025","630","tests","product_test","","","","test_remove_products_from_cart[chromium]",""
"passed","Tue May 06 09:32:58 UTC 2025","Tue May 06 09:32:59 UTC 2025","653","tests","login_test","","","","test_verify_correct_login[chromium]",""
"passed","Tue May 06 09:34:14 UTC 2025","Tue May 06 09:34:15 UTC 2025","366","tests","register_test","","","","test_verify_correct_email_for_registration[chromium]",""
